ATC_C,ATC_H,ATC_N,ATC_O,ATC_S
26.23,14.27,51.77,7.02,0.69
26.67,13.62,52.42,7.06,0.23
25.76,12.58,53.27,8.32,0.08
26.35,13.42,52.57,7.37,0.29
26.52,13.33,52.67,7.32,0.16
26.31,13.52,52.75,7.13,0.28
26.94,13.56,51.77,7.47,0.26
27.02,13.27,52.41,7.12,0.18
26.47,13.35,52.41,7.56,0.21
26.12,14.93,52.12,6.47,0.36
26.73,13.59,52.03,7.57,0.09
26.16,13.42,53.04,7.11,0.26
26.83,13.09,52.7,7.15,0.22
26.62,13.04,52.72,7.39,0.23
26.3,12.31,53.61,7.59,0.19
26.04,13.0,52.76,8.09,0.11
25.65,13.63,53.02,7.49,0.21
26.97,13.12,52.67,7.03,0.21
26.96,13.35,52.7,6.76,0.23
25.88,13.5,53.39,7.04,0.19
25.77,13.35,52.97,7.68,0.22
26.24,13.48,52.63,7.36,0.29
25.71,14.07,53.18,6.75,0.3
25.82,12.81,53.81,7.06,0.5
26.96,13.32,52.52,6.97,0.23
26.19,13.23,53.04,7.31,0.23
26.63,12.98,52.7,7.42,0.28
26.29,13.33,52.97,7.26,0.15
26.64,12.99,52.81,7.42,0.14
25.75,12.73,53.4,7.91,0.21
26.59,13.59,52.64,6.93,0.24
26.38,13.44,52.82,7.2,0.15
26.67,13.06,53.26,6.89,0.11
26.46,13.31,52.93,7.15,0.15
27.08,12.94,52.71,6.98,0.28
26.76,13.08,52.72,7.25,0.2
26.64,12.16,54.4,6.65,0.15
26.61,13.31,52.06,7.64,0.39
27.11,12.75,53.01,6.87,0.26
26.61,13.04,52.87,7.29,0.19
26.29,13.26,53.63,6.71,0.11
26.6,13.42,52.56,7.21,0.21
26.36,13.78,52.02,7.17,0.67
26.82,14.09,52.44,6.48,0.17
26.18,13.67,52.69,7.27,0.19
26.34,13.12,53.32,7.02,0.19
25.56,13.92,53.11,7.21,0.2
27.01,13.33,52.04,7.48,0.15
25.69,13.58,53.08,7.5,0.15
25.78,12.87,53.99,7.23,0.14
26.82,13.15,52.31,7.56,0.15
26.91,13.16,52.31,7.42,0.2
26.5,13.49,52.45,7.3,0.26
26.96,12.92,52.83,7.02,0.28
26.56,13.05,52.94,7.09,0.36
26.01,13.73,52.7,7.26,0.3
26.53,13.42,52.69,7.19,0.17
26.02,13.61,52.87,7.21,0.3
26.94,13.5,52.09,7.4,0.07
27.1,12.96,52.88,6.97,0.09
26.5,13.49,52.55,7.32,0.13
27.36,13.47,51.84,7.17,0.16
27.04,13.46,51.96,7.33,0.2
26.39,13.72,52.6,7.16,0.14
27.29,12.8,52.76,6.99,0.16
26.65,12.92,53.53,6.76,0.13
26.8,13.5,52.17,7.33,0.19
26.73,13.23,52.52,7.34,0.17
26.66,13.52,52.75,6.96,0.12
25.63,13.27,53.42,7.3,0.38
26.55,13.27,52.73,7.23,0.21
26.31,12.62,53.05,7.85,0.17
26.48,13.29,52.96,7.03,0.25
23.79,14.36,52.31,7.59,1.95
27.35,13.5,51.74,7.17,0.25
26.67,13.22,52.91,6.91,0.3
25.74,13.71,53.06,7.42,0.07
26.94,13.05,52.04,7.83,0.13
26.26,13.54,51.97,8.01,0.22
26.26,13.05,53.29,7.23,0.18
26.16,13.53,52.71,7.38,0.22
26.15,13.3,53.29,7.1,0.16
26.82,13.23,52.76,7.05,0.14
26.62,13.17,53.02,7.06,0.13
25.8,13.16,52.82,8.02,0.2
26.86,13.27,52.35,7.4,0.12
27.3,12.88,52.45,7.11,0.25
25.42,12.07,54.1,8.27,0.14
26.17,13.04,53.3,7.25,0.23
26.9,11.93,53.5,7.64,0.04
25.98,14.04,52.01,7.8,0.17
27.03,14.04,51.45,7.32,0.15
26.51,12.79,53.0,7.6,0.1
26.65,12.84,52.91,7.44,0.16
27.06,12.92,52.04,7.77,0.2
26.51,13.61,52.37,7.27,0.24
26.24,13.75,52.76,7.15,0.1
26.59,13.14,52.82,7.25,0.19
26.21,14.05,52.38,7.09,0.27
26.34,13.94,52.08,7.43,0.21
26.25,13.24,53.06,7.22,0.22
26.87,13.48,52.32,7.11,0.22
27.13,13.4,52.15,7.02,0.3
26.88,12.92,53.22,6.84,0.13
26.26,13.61,52.25,7.58,0.3
26.8,13.29,52.58,7.19,0.13
26.01,11.9,53.53,8.02,0.53
26.73,13.44,52.25,7.5,0.08
27.28,12.49,52.71,7.37,0.15
26.35,13.7,52.82,7.0,0.13
26.49,13.22,52.65,7.32,0.31
27.44,13.24,52.07,7.08,0.17
26.35,13.53,52.87,7.17,0.08
26.94,12.77,53.23,6.87,0.19
26.41,13.41,52.55,7.26,0.37
26.64,12.45,53.72,7.06,0.14
26.87,13.35,52.53,7.08,0.17
26.85,13.41,52.54,7.03,0.16
26.55,12.81,52.54,7.74,0.37
27.0,12.74,52.83,7.31,0.11
27.88,13.2,51.6,7.15,0.17
26.48,13.44,52.82,7.02,0.25
26.47,11.81,53.53,7.99,0.19
26.03,13.29,52.54,7.32,0.81
26.34,13.36,52.96,7.15,0.19
26.63,13.23,52.49,7.37,0.28
26.52,13.3,52.79,7.22,0.17
26.86,13.18,53.15,6.73,0.08
26.65,14.03,52.15,6.94,0.23
25.54,14.3,52.79,7.26,0.12
25.81,13.45,51.89,8.74,0.11
26.9,13.61,52.16,7.24,0.09
26.27,13.45,52.86,7.28,0.13
26.71,13.35,52.15,7.69,0.11
27.08,13.34,52.15,7.22,0.2
26.22,13.27,52.7,7.66,0.15
26.38,13.16,53.12,7.12,0.22
26.11,13.1,53.43,7.16,0.2
26.01,13.34,53.1,7.24,0.31
26.18,13.42,53.05,7.13,0.22
27.32,12.88,52.61,6.95,0.24
26.9,13.15,52.2,7.39,0.35
26.66,13.3,52.62,7.13,0.29
26.5,13.59,52.54,7.19,0.19
26.92,12.87,53.12,6.9,0.19
26.02,13.56,52.65,7.51,0.27
28.01,11.9,53.13,6.66,0.3
26.57,13.4,52.49,7.33,0.21
25.79,14.24,52.59,7.22,0.15
26.85,13.29,52.44,7.18,0.25
26.39,13.19,53.31,6.93,0.18
26.49,13.7,52.22,7.42,0.17
26.31,13.62,52.98,6.93,0.16
25.93,13.31,52.98,7.69,0.08
26.59,13.29,52.52,7.29,0.31
26.4,13.49,52.71,7.23,0.18
27.26,13.14,52.71,6.66,0.23
26.83,13.01,52.65,7.38,0.13
25.53,13.7,52.92,7.74,0.11
26.04,13.29,53.18,7.28,0.2
26.64,12.15,53.63,7.26,0.32
26.63,12.84,52.95,7.33,0.25
26.28,12.94,53.42,7.19,0.17
26.54,12.8,52.82,7.76,0.08
26.16,13.26,53.2,7.12,0.26
26.84,13.29,52.94,6.81,0.12
26.62,12.96,53.13,7.16,0.13
27.28,13.18,52.26,7.08,0.21
26.15,12.72,53.81,7.12,0.2
25.92,13.59,53.05,7.19,0.25
26.36,13.34,52.71,7.35,0.24
26.53,13.27,52.49,7.48,0.23
26.34,13.13,52.81,7.5,0.23
26.3,13.33,52.55,7.71,0.1
27.24,13.42,51.98,7.21,0.15
27.11,12.64,52.84,7.27,0.13
26.13,13.58,53.23,6.91,0.15
27.18,13.3,52.26,7.12,0.14
25.59,13.88,52.95,7.25,0.33
26.44,13.5,52.84,7.03,0.19
27.02,13.31,52.29,7.16,0.21
26.56,13.38,52.31,7.57,0.18
26.13,13.43,52.73,7.21,0.51
25.99,12.99,52.85,7.93,0.25
26.12,12.99,53.54,7.12,0.23
26.47,13.7,52.56,7.12,0.14
26.43,13.43,52.93,6.96,0.25
26.48,12.98,52.98,7.27,0.29
26.39,13.41,52.76,7.26,0.18
26.06,13.77,52.52,7.47,0.17
26.21,13.15,53.42,6.99,0.23
27.86,12.79,52.4,6.85,0.09
25.88,13.52,52.83,7.53,0.24
26.55,13.95,52.76,6.66,0.07
26.95,12.89,52.82,7.21,0.14
26.63,13.38,52.19,7.51,0.29
26.68,13.42,52.33,7.36,0.2
26.32,13.45,52.79,7.3,0.14
26.69,13.33,52.6,7.17,0.22
25.91,11.88,53.75,8.24,0.21
25.61,13.97,52.17,8.02,0.23
26.28,12.99,52.73,7.78,0.22
25.71,13.08,52.88,8.18,0.15
27.02,13.12,52.31,7.26,0.29
26.88,13.13,52.42,7.33,0.23
26.58,13.71,52.9,6.71,0.09
25.58,14.45,52.29,7.54,0.14
26.65,13.05,52.81,7.32,0.17
26.71,11.56,54.03,7.62,0.09
25.96,13.92,52.89,7.1,0.14
26.22,13.75,52.26,7.46,0.31
26.32,13.39,52.73,7.39,0.18
27.08,13.42,52.2,7.17,0.14
26.4,13.61,52.68,7.04,0.27
25.59,11.7,54.72,7.95,0.04
26.05,13.59,52.76,7.4,0.19
26.25,13.27,52.55,7.61,0.32
26.5,12.36,53.13,7.82,0.19
25.5,13.28,53.55,7.35,0.32
27.25,13.43,51.81,7.27,0.24
26.4,13.68,52.49,7.2,0.23
27.06,13.03,52.69,6.98,0.25
25.81,13.46,53.62,6.9,0.21
26.23,13.59,52.46,7.49,0.23
26.81,13.47,52.07,7.41,0.24
26.7,13.8,52.26,6.89,0.35
25.84,13.91,52.53,7.37,0.36
26.73,13.36,52.59,7.13,0.19
25.98,13.37,53.4,7.04,0.22
27.0,13.52,51.92,7.44,0.13
25.66,13.86,52.53,7.83,0.13
26.57,13.89,52.39,7.11,0.05
26.18,13.84,52.64,7.22,0.12
26.91,13.08,52.43,7.47,0.12
27.23,13.26,52.43,6.98,0.1
26.49,12.44,53.05,7.9,0.12
26.6,13.06,53.21,6.97,0.16
25.86,12.49,53.53,7.9,0.23
26.37,13.75,52.35,7.29,0.25
25.81,13.12,53.65,7.33,0.1
26.51,13.57,52.97,6.5,0.45
26.64,13.0,52.68,7.5,0.18
26.52,12.61,53.16,7.48,0.23
26.8,13.08,52.82,7.2,0.1
26.56,13.38,52.73,7.16,0.17
26.96,13.18,52.52,7.1,0.23
26.28,13.4,52.66,7.5,0.16
28.44,12.55,51.78,7.1,0.13
25.93,13.77,53.0,7.18,0.12
26.15,13.38,52.47,7.69,0.31
26.11,13.9,52.85,6.8,0.33
26.81,13.09,52.72,7.22,0.16
26.7,12.95,53.28,6.94,0.13
26.36,13.36,52.76,7.28,0.25
27.67,12.97,52.52,6.72,0.11
26.11,13.37,53.12,7.24,0.15
26.73,13.44,52.46,7.23,0.15
26.9,13.27,52.54,7.12,0.17
27.35,13.03,51.91,7.41,0.3
26.62,13.39,52.39,7.31,0.29
26.58,13.66,52.5,7.01,0.26
26.65,13.37,52.57,7.17,0.23
26.1,13.98,52.82,6.84,0.25
26.42,14.96,51.17,7.03,0.43
26.68,13.17,52.83,7.1,0.23
26.5,13.12,52.79,7.29,0.3
26.26,13.65,52.31,7.61,0.17
26.01,13.18,53.44,7.19,0.19
26.44,13.76,52.36,7.27,0.18
26.93,12.94,52.28,7.67,0.18
26.55,13.92,52.7,6.68,0.15
27.16,12.23,53.14,7.36,0.12
26.91,13.08,52.42,7.35,0.23
26.38,13.1,53.02,7.21,0.29
26.02,13.56,52.91,7.24,0.27
26.37,13.19,52.62,7.52,0.3
26.32,13.3,52.85,7.36,0.16
26.86,13.28,52.66,6.97,0.23
26.06,13.18,52.84,7.37,0.55
26.27,13.83,52.71,6.98,0.21
26.54,13.38,52.7,7.24,0.13
26.46,13.59,52.43,7.36,0.14
27.28,13.46,51.7,7.46,0.1
26.88,13.14,52.6,7.11,0.28
26.24,13.49,53.12,7.07,0.09
26.01,13.65,52.84,7.0,0.5
28.32,12.39,52.12,6.97,0.2
26.95,12.84,52.83,7.24,0.14
26.49,13.12,52.61,7.47,0.31
26.73,13.63,51.94,7.49,0.2
26.19,12.87,53.45,7.35,0.15
26.44,13.54,52.11,7.74,0.16
27.01,12.96,52.53,7.29,0.21
26.5,13.15,52.3,7.78,0.28
27.14,13.35,52.43,6.79,0.29
27.44,13.34,51.98,6.89,0.35
26.38,13.0,53.07,7.38,0.15
26.39,12.98,52.84,7.58,0.2
26.77,13.3,52.41,7.37,0.16
27.0,12.84,52.58,7.49,0.1
26.78,13.2,52.61,7.23,0.19
27.31,13.14,52.34,7.08,0.13
26.44,13.16,52.44,7.76,0.2
26.91,12.57,53.86,6.49,0.17
26.33,13.84,52.48,7.26,0.09
26.64,13.35,52.21,7.49,0.3
28.18,12.13,52.99,6.41,0.28
26.19,13.38,52.75,7.57,0.11
26.06,13.29,52.94,7.45,0.26
26.94,13.66,51.73,7.31,0.36
26.7,13.44,52.3,7.32,0.23
26.81,13.25,52.84,6.93,0.17
25.84,13.42,53.15,7.37,0.23
26.36,13.82,51.93,7.67,0.22
26.93,13.53,51.89,7.36,0.29
26.38,13.69,52.8,6.9,0.23
25.77,13.51,53.52,6.9,0.29
25.98,13.29,52.21,8.15,0.37
26.81,13.31,52.5,6.97,0.4
27.15,12.94,52.37,7.36,0.18
26.11,13.0,53.07,7.53,0.28
26.73,13.33,52.55,7.17,0.23
25.68,13.62,52.87,7.65,0.18
26.49,12.45,53.72,7.06,0.28
27.07,12.54,53.58,6.53,0.29
26.83,13.19,52.57,7.26,0.16
27.29,13.1,52.31,7.08,0.21
26.5,13.39,52.39,7.51,0.2
26.83,12.9,52.74,7.11,0.43
26.31,12.85,53.76,6.87,0.21
27.03,13.55,51.91,7.42,0.1
26.04,13.26,53.55,7.06,0.1
27.06,13.15,52.49,7.12,0.18
26.17,13.92,52.7,6.96,0.24
26.72,13.18,53.08,6.86,0.16
26.24,12.93,53.31,7.29,0.23
27.04,13.23,52.64,6.9,0.19
26.62,13.77,52.22,7.29,0.1
26.22,13.19,53.06,7.22,0.31
26.85,12.84,52.82,7.34,0.15
27.29,13.12,52.49,6.89,0.21
26.11,13.43,53.41,6.82,0.23
26.83,13.16,52.67,7.14,0.2
25.94,13.57,53.18,7.19,0.12
26.74,13.17,52.96,6.93,0.19
26.63,13.37,52.51,7.21,0.28
25.95,13.69,52.53,7.58,0.24
27.52,12.57,52.36,7.3,0.25
26.07,13.32,53.16,7.28,0.16
26.1,13.21,53.16,7.31,0.22
26.21,13.74,52.67,7.28,0.1
26.82,13.59,52.22,7.26,0.11
26.46,12.96,52.69,7.66,0.23
26.14,13.15,53.25,7.3,0.16
26.53,12.97,52.81,7.47,0.21
26.58,13.36,52.85,7.08,0.13
26.6,13.3,52.65,7.24,0.21
26.95,12.51,53.35,7.01,0.18
26.5,13.21,52.88,7.23,0.18
26.74,13.68,52.33,7.1,0.15
27.49,13.15,52.17,7.0,0.19
26.27,13.41,52.89,7.31,0.13
27.41,12.97,51.98,7.5,0.15
26.63,13.27,52.32,7.63,0.16
26.66,13.12,52.78,7.36,0.08
26.78,13.4,52.37,7.25,0.2
26.32,13.45,53.0,7.02,0.21
27.43,13.77,51.8,6.76,0.25
27.27,13.11,52.52,6.83,0.27
24.98,13.58,53.32,7.98,0.14
26.67,12.97,52.76,7.3,0.3
26.82,12.95,53.31,6.76,0.16
26.33,13.34,53.04,7.12,0.17
26.47,13.22,52.94,7.11,0.26
27.12,12.93,52.63,7.2,0.13
27.02,13.54,52.12,6.93,0.39
26.97,13.0,52.46,7.42,0.15
26.29,14.26,52.36,6.85,0.25
27.0,13.83,52.07,6.94,0.16
26.14,13.5,52.9,7.15,0.32
26.73,13.31,52.77,7.06,0.13
26.58,13.45,52.3,7.36,0.31
26.45,12.9,52.82,7.68,0.15
26.98,13.63,51.64,7.55,0.2
26.95,13.05,52.41,7.41,0.18
26.37,13.9,52.08,7.52,0.14
27.39,12.65,52.58,7.22,0.17
25.89,13.47,53.14,7.24,0.25
26.7,13.06,52.68,7.26,0.3
27.34,12.3,53.47,6.61,0.28
26.33,13.22,52.65,7.66,0.14
26.5,13.38,52.42,7.55,0.16
26.17,13.64,52.98,7.14,0.07
27.08,14.01,51.62,7.14,0.14
26.88,12.55,53.44,6.92,0.21
26.79,13.03,52.58,7.4,0.2
26.43,13.26,53.08,7.04,0.19
27.34,13.52,51.7,7.25,0.18
27.04,13.07,52.61,7.02,0.26
26.9,13.16,52.61,7.06,0.28
26.8,13.4,52.73,6.91,0.16
26.17,13.37,52.88,7.43,0.16
26.68,13.31,52.6,7.15,0.27
26.77,13.34,52.4,7.3,0.2
25.77,13.71,53.55,6.86,0.12
26.22,13.24,53.11,7.31,0.13
26.97,13.36,52.53,6.93,0.22
26.43,13.64,52.74,6.97,0.22
26.2,12.95,53.24,7.41,0.2
27.15,13.39,51.78,7.43,0.24
26.28,13.72,52.79,7.04,0.17
26.11,13.26,53.46,7.02,0.15
25.95,13.0,53.84,6.99,0.21
26.62,13.1,52.47,7.54,0.28
26.26,13.66,52.96,6.89,0.24
26.47,13.28,52.66,7.32,0.28
27.13,12.92,52.45,7.32,0.17
26.0,14.62,52.33,6.75,0.3
26.24,13.37,52.84,7.39,0.17
26.71,13.34,52.6,7.08,0.27
27.05,13.21,52.46,7.16,0.13
26.46,13.65,52.49,7.14,0.26
27.41,13.1,52.44,6.88,0.17
26.84,13.02,52.64,7.34,0.16
25.45,13.22,53.85,7.43,0.04
26.61,13.0,52.79,7.49,0.12
25.98,13.54,52.66,7.63,0.19
27.09,13.42,52.35,7.04,0.1
26.2,13.57,52.82,7.24,0.16
26.47,13.6,52.4,7.32,0.21
26.56,13.27,52.43,7.57,0.16
26.9,12.82,53.17,6.81,0.3
27.22,12.79,52.81,6.97,0.2
25.7,13.33,53.08,7.6,0.29
26.14,12.8,53.8,6.8,0.45
26.11,13.39,53.23,7.12,0.14
25.96,14.56,52.09,7.32,0.06
26.33,13.08,53.18,7.19,0.21
27.49,12.72,52.38,7.24,0.17
26.99,13.05,52.56,7.21,0.19
26.36,13.76,52.68,6.97,0.23
26.85,13.23,52.27,7.45,0.2
26.33,13.61,52.57,7.26,0.23
26.42,13.11,52.77,7.47,0.24
26.52,13.3,52.91,7.07,0.2
27.22,12.83,52.87,6.97,0.11
26.77,13.24,52.4,7.33,0.25
26.45,13.31,52.7,7.32,0.22
26.53,13.12,52.03,7.8,0.53
26.43,13.59,52.57,7.18,0.23
26.2,13.66,52.86,7.04,0.23
26.61,13.06,52.54,7.42,0.37
26.02,13.72,52.3,7.79,0.16
26.2,13.21,52.75,7.56,0.28
26.1,13.32,53.38,6.95,0.25
26.68,13.47,52.34,7.26,0.24
26.45,13.24,52.66,7.36,0.29
26.41,13.01,52.98,7.44,0.16
27.13,13.42,52.08,7.24,0.12
26.35,13.04,52.69,7.63,0.3
26.07,13.31,52.86,7.44,0.32
26.41,13.43,52.7,7.37,0.1
26.01,12.96,53.35,7.17,0.52
27.49,12.97,52.23,7.13,0.18
26.79,13.3,52.36,7.35,0.2
26.3,13.38,52.61,7.3,0.42
26.48,13.16,52.33,7.86,0.17
25.14,12.38,54.48,7.81,0.19
26.9,13.64,51.78,7.44,0.23
25.7,13.58,53.05,7.4,0.26
25.34,12.63,53.95,8.03,0.04
26.82,13.07,52.75,7.18,0.18
26.2,13.46,52.34,7.76,0.24
25.68,13.38,53.89,6.88,0.17
26.59,12.72,53.07,7.3,0.32
26.71,13.16,52.6,7.25,0.28
26.45,13.73,52.22,7.49,0.11
26.73,13.4,52.77,6.88,0.22
27.71,12.76,52.32,6.95,0.26
26.12,13.24,52.95,7.51,0.17
27.1,13.25,52.74,6.78,0.13
27.03,13.47,51.85,7.4,0.25
26.51,12.7,53.77,6.99,0.03
27.91,12.14,53.17,6.47,0.3
26.33,13.7,52.4,7.4,0.18
26.38,12.85,53.54,7.08,0.15
26.55,13.1,52.85,7.24,0.26
26.55,12.99,52.95,7.28,0.23
26.28,12.79,54.03,6.65,0.25
25.55,14.02,52.95,7.16,0.32
26.58,12.16,53.05,8.09,0.11
25.64,13.72,52.95,7.47,0.21
26.42,13.51,52.55,7.41,0.11
26.8,12.99,52.78,7.37,0.06
26.87,12.88,52.37,7.63,0.25
26.52,14.54,52.22,6.68,0.04
26.23,13.83,52.33,7.42,0.18
26.29,13.99,51.83,7.75,0.14
26.13,13.69,52.87,7.1,0.21
26.55,13.09,53.54,6.76,0.06
25.31,13.35,53.11,7.92,0.31
26.17,12.86,53.18,7.21,0.58
27.93,11.97,53.59,6.38,0.13
25.82,13.67,52.28,7.86,0.37
26.45,13.65,52.34,7.23,0.32
26.46,13.29,52.36,7.52,0.37
25.64,11.69,54.43,8.19,0.06
27.21,12.89,52.78,7.06,0.06
26.64,13.1,52.78,7.26,0.24
26.74,13.12,53.16,6.79,0.19
25.94,14.33,52.32,7.27,0.14
26.28,13.52,52.82,6.99,0.39
27.43,13.39,51.77,6.97,0.45
26.6,13.81,52.51,6.73,0.35
27.46,13.19,52.44,6.77,0.14
25.36,11.67,54.68,8.24,0.05
27.22,13.71,52.29,6.78,0.0
26.68,13.75,52.59,6.89,0.09
26.57,13.2,52.97,7.1,0.17
27.1,13.07,52.87,6.79,0.17
26.52,13.41,52.47,7.35,0.25
26.71,13.84,52.71,6.62,0.12
26.45,13.29,52.53,7.54,0.19
25.68,13.23,54.32,6.52,0.26
26.89,13.21,52.53,7.15,0.21
26.94,13.17,52.91,6.84,0.14
26.32,13.5,52.97,7.1,0.11
26.45,13.46,52.81,7.1,0.18
27.59,13.17,52.37,6.74,0.13
26.39,11.81,53.74,7.75,0.31
26.95,13.09,52.85,6.88,0.23
26.59,13.76,52.42,7.08,0.15
25.6,14.15,52.43,7.63,0.19
27.13,13.16,52.31,7.22,0.18
26.54,13.24,52.78,7.22,0.22
26.46,13.13,52.69,7.4,0.31
27.19,13.01,52.21,7.43,0.16
26.3,13.58,52.74,7.14,0.24
26.19,14.0,52.17,7.47,0.16
25.74,14.57,52.27,7.23,0.19
26.55,13.14,52.84,7.24,0.23
26.3,13.05,53.04,7.32,0.29
26.43,12.77,53.51,7.17,0.13
25.49,13.41,53.39,7.43,0.28
26.48,12.8,53.39,7.14,0.19
26.62,12.93,52.9,7.46,0.1
26.8,12.86,52.53,7.62,0.2
26.82,12.92,52.83,7.27,0.16
26.75,12.91,53.07,7.17,0.09
25.37,13.84,53.21,7.26,0.34
27.11,13.14,52.36,7.16,0.22
26.74,13.71,52.68,6.85,0.02
26.47,13.51,52.59,7.32,0.12
26.28,13.53,53.0,7.02,0.17
26.42,13.24,53.37,6.67,0.3
27.27,13.42,52.0,7.16,0.15
26.32,13.75,52.48,7.23,0.23
26.68,13.19,52.65,7.28,0.2
26.76,12.87,53.15,7.02,0.2
26.87,13.38,52.27,7.3,0.18
26.81,13.22,52.84,6.99,0.15
26.74,13.44,52.45,7.01,0.36
26.6,13.35,52.96,6.84,0.25
26.8,13.48,52.17,7.29,0.26
26.9,12.99,52.72,7.19,0.21
26.67,13.2,52.19,7.54,0.4
25.97,13.56,52.92,7.3,0.25
27.43,13.14,52.0,7.32,0.11
25.89,13.44,53.13,7.35,0.19
26.67,13.54,52.22,7.34,0.23
26.68,13.37,52.54,7.19,0.21
27.06,12.37,53.45,7.04,0.08
26.79,12.92,52.9,7.26,0.14
26.05,13.48,52.31,8.01,0.15
27.01,13.36,51.98,7.55,0.11
26.79,13.66,52.19,7.21,0.14
26.84,13.05,52.54,7.39,0.18
26.68,13.17,52.51,7.37,0.26
26.74,12.97,52.83,7.25,0.21
26.5,13.12,52.35,7.81,0.22
26.72,13.63,52.37,7.17,0.11
25.98,13.32,52.65,7.84,0.21
26.26,13.19,53.33,7.09,0.14
26.27,14.21,52.76,6.65,0.11
26.44,13.5,52.22,7.48,0.36
26.08,13.4,53.53,6.83,0.16
26.28,13.67,52.6,7.2,0.26
26.58,12.81,53.42,7.1,0.09
26.84,12.53,53.64,6.71,0.27
27.23,13.08,52.21,7.29,0.19
25.95,13.8,52.63,7.27,0.35
26.74,13.2,52.5,7.5,0.06
26.63,13.02,52.44,7.78,0.13
25.97,13.21,53.55,7.03,0.25
26.39,13.36,52.54,7.5,0.21
26.79,12.96,52.69,7.43,0.13
26.36,13.3,53.05,7.05,0.23
26.25,13.62,52.91,7.17,0.05
26.58,13.29,52.49,7.41,0.23
26.9,12.91,52.89,7.12,0.19
26.04,13.12,53.09,7.47,0.27
26.08,13.37,53.09,7.31,0.15
26.61,13.17,52.76,7.2,0.26
25.91,13.35,53.27,7.12,0.35
26.09,13.88,52.39,7.5,0.14
27.2,12.43,53.21,6.9,0.25
27.13,13.26,52.63,6.65,0.32
27.1,13.31,52.42,6.78,0.39
26.38,13.9,52.21,7.19,0.32
26.72,13.18,52.47,7.5,0.14
25.75,14.2,52.19,7.63,0.23
26.98,12.85,52.54,7.41,0.22
26.41,13.73,52.06,7.48,0.31
26.88,13.24,52.78,6.96,0.13
26.12,13.85,52.28,7.58,0.18
26.07,13.69,53.06,7.11,0.07
27.69,12.81,52.22,7.14,0.14
26.76,13.16,52.85,7.03,0.21
26.8,13.17,52.73,7.14,0.17
26.1,13.78,52.18,7.59,0.36
26.84,13.36,51.94,7.69,0.17
26.17,13.36,52.88,7.33,0.27
26.83,13.52,51.78,7.75,0.12
27.18,13.72,52.29,6.7,0.11
26.34,13.06,52.8,7.58,0.22
25.97,14.19,52.26,7.27,0.31
26.35,13.17,52.87,7.38,0.24
26.91,12.89,52.74,7.14,0.32
26.53,12.78,53.17,7.3,0.23
25.15,13.22,53.3,8.17,0.16
26.73,12.92,52.11,8.03,0.21
25.75,12.93,53.33,7.87,0.12
27.6,12.81,52.45,7.07,0.07
26.38,13.3,52.71,7.47,0.15
26.29,13.69,52.23,7.44,0.35
26.7,13.46,52.9,6.79,0.14
26.03,13.94,52.84,7.06,0.13
26.69,13.38,51.89,7.67,0.37
26.71,13.23,52.34,7.23,0.48
27.36,12.59,52.43,7.51,0.12
26.77,14.01,51.71,7.4,0.11
26.14,13.49,53.09,7.14,0.13
26.05,13.6,52.62,7.46,0.27
27.06,13.37,51.72,7.66,0.19
26.41,13.1,53.6,6.8,0.09
25.75,13.3,53.47,7.25,0.23
26.72,13.85,51.82,7.48,0.13
26.18,13.97,52.62,7.16,0.07
26.87,12.91,52.91,7.1,0.21
27.13,13.24,51.53,7.83,0.27
25.71,13.47,53.27,7.22,0.33
26.69,13.11,52.9,7.07,0.23
26.88,13.23,52.19,7.54,0.17
26.19,13.22,53.14,7.18,0.27
25.84,13.78,52.53,7.58,0.27
26.98,12.91,52.5,7.4,0.2
26.58,13.04,52.87,7.4,0.12
26.08,13.23,53.23,7.36,0.1
25.6,13.55,52.78,7.96,0.11
27.56,12.96,52.2,7.0,0.29
27.68,14.1,51.69,6.54,0.0
27.11,13.04,52.45,7.11,0.29
26.02,13.95,51.97,7.9,0.17
25.44,13.69,52.73,7.91,0.23
27.13,12.7,52.63,7.3,0.23
26.51,14.01,51.51,7.49,0.49
26.35,13.97,52.32,7.25,0.12
26.16,13.73,52.85,6.96,0.3
26.44,12.81,53.4,7.18,0.17
26.45,13.06,53.35,6.96,0.19
26.71,13.17,52.28,7.6,0.24
26.46,13.48,52.71,7.08,0.27
27.25,13.61,51.78,7.24,0.12
27.33,13.61,51.96,6.99,0.1
25.57,13.38,53.57,7.39,0.08
26.0,13.89,52.26,7.75,0.11
26.46,12.92,53.14,7.38,0.1
25.98,13.53,52.56,7.76,0.17
26.43,13.63,52.82,6.98,0.15
27.28,13.02,52.3,7.21,0.18
27.18,11.93,53.94,6.74,0.21
26.91,12.4,53.42,7.16,0.12
26.0,13.37,52.76,7.54,0.34
26.13,13.32,52.64,7.69,0.22
26.85,12.86,52.93,7.04,0.31
27.3,13.02,52.23,7.26,0.19
25.74,14.24,52.64,7.14,0.24
26.56,13.62,52.23,7.41,0.19
26.23,14.26,52.22,7.21,0.08
25.76,13.39,53.46,7.16,0.23
25.97,13.67,52.66,7.4,0.29
26.61,13.59,53.0,6.74,0.06
26.49,12.82,53.18,7.26,0.25
26.14,13.75,52.42,7.48,0.21
26.45,13.52,52.94,6.86,0.22
26.91,13.34,52.73,6.84,0.19
26.47,13.35,52.68,7.27,0.23
25.8,13.51,52.56,7.96,0.16
